T,c,b,a,s
1649321552832,43465.9,43465.9,43465.9,2.3006525e-07
1649321557848,43465.9,43465.9,43465.9,2.3006525e-07
1649321553859,43465.9,43465.9,43465.9,2.3006525e-07
1649321554841,43465.9,43465.9,43465.9,2.3006525e-07
1649321555854,43465.9,43465.9,43465.9,2.3006525e-07
1649321556845,43465.9,43465.9,43465.9,2.3006525e-07
1649321563863,43465.9,43465.9,43465.9,2.3006525e-07
1649321564864,43465.9,43465.9,43465.9,2.3006525e-07
1649321560868,43465.9,43465.9,43465.9,2.3006525e-07
1649321561863,43465.9,43465.9,43465.9,2.3006525e-07
1649321562864,43465.9,43465.9,43465.9,2.3006525e-07
1649321569862,43465.9,43465.9,43465.9,2.3006541e-07
1649321570843,43465.9,43465.9,43465.9,2.3006541e-07
1649321627964,43499.1,43499.1,43499.1,0.0
1649321567870,43465.9,43465.9,43465.9,2.3006541e-07
1649321568845,43465.9,43465.9,43465.9,2.3006541e-07
1649321569862,43465.9,43465.9,43465.9,2.3006541e-07
1649321570843,43465.9,43465.9,43465.9,2.3006541e-07
1649321578836,43465.9,43465.9,43465.9,2.3006541e-07
1649321573816,43465.9,43465.9,43465.9,2.3006541e-07
1649321574868,43465.9,43465.9,43465.9,2.3006541e-07
1649321575856,43465.9,43465.9,43465.9,2.3006541e-07
1649321576862,43465.9,43465.9,43465.9,2.3006541e-07
1649321584851,43465.9,43465.9,43465.9,2.3006541e-07
1649321585875,43465.9,43465.9,43465.9,2.3006541e-07
1649321586876,43475.0,43475.0,43475.0,2.300173e-07
1649321587876,43485.0,43485.0,43485.0,2.2996451e-07
1649321660883,43499.3,43499.3,43499.3,2.2988902e-07
1649321661886,43500.0,43500.0,43500.0,2.2988511e-07
1649321663889,43500.0,43500.0,43500.0,2.2988511e-07
1649321664889,43500.0,43500.0,43500.0,2.2988511e-07
1649321665888,43500.0,43500.0,43500.0,2.2988511e-07
1649321666889,43500.0,43500.0,43500.0,2.2988511e-07
1649321667875,43500.0,43500.0,43500.0,2.2988511e-07
1649321669879,43500.0,43500.0,43500.0,2.2988511e-07
1649321670864,43500.0,43500.0,43500.0,2.2988506e-07
1649321671889,43500.0,43500.0,43500.0,2.2988506e-07
1649321672890,43500.0,43500.0,43500.0,2.2988506e-07
1649321680246,43500.0,43500.0,43500.0,0.0
1649321674859,43500.0,43500.0,43500.0,2.2988506e-07
1649321676839,43500.0,43500.0,43500.0,2.2988506e-07
1649321677886,43500.0,43500.0,43500.0,2.2988506e-07
1649321678884,43500.0,43500.0,43500.0,2.2988506e-07
1649321679805,43500.0,43500.0,43500.0,2.2988506e-07
1649321680885,43500.0,43500.0,43500.0,2.2988506e-07
1649321682892,43500.0,43500.0,43500.0,2.2988506e-07
1649321683875,43500.0,43500.0,43500.0,2.2988506e-07
1649321684765,43500.0,43500.0,43500.0,2.2988506e-07
1649321685728,43500.0,43500.0,43500.0,2.2988506e-07
1649321686885,43500.0,43500.0,43500.0,2.2988506e-07
1649321687881,43500.0,43500.0,43500.0,2.2988506e-07
1649321689891,43500.0,43500.0,43500.0,2.2988506e-07
1649321690892,43500.0,43500.0,43500.0,2.2988506e-07
1649321691879,43500.0,43500.0,43500.0,2.2988506e-07
1649321692893,43500.0,43500.0,43500.0,2.2988506e-07
1649321694878,43500.0,43500.0,43500.0,2.2988506e-07
1649321695867,43500.0,43500.0,43500.0,2.2988506e-07
1649321696852,43500.0,43500.0,43500.0,2.2988506e-07
1649321698825,43500.0,43500.0,43500.0,2.2988506e-07
1649321699894,43500.0,43500.0,43500.0,2.2988506e-07
1649321720334,43515.8,43515.8,43515.8,0.0
1649321701896,43490.0,43490.0,43490.0,2.2993792e-07
1649321702887,43490.0,43490.0,43490.0,2.2993792e-07
1649321703897,43497.1,43497.1,43497.1,2.2990038e-07
1649321703897,43497.1,43497.1,43497.1,2.2990038e-07
1649321704897,43500.0,43497.2,43497.3,2.7588008e-06
1649321705897,43505.8,43506.2,43506.2,2.2985246e-07
1649321706891,43506.2,43506.2,43506.2,2.2985246e-07
1649321707890,43506.2,43506.2,43506.2,2.2985246e-07
1649321708893,43510.0,43510.0,43510.0,2.2983233e-07
1649321709898,43510.0,43510.0,43510.0,2.2983233e-07
1649321710897,43510.0,43510.0,43510.0,2.2983233e-07
1649321711882,43510.0,43510.0,43510.0,2.2983233e-07
1649321712888,43510.0,43510.0,43510.0,2.2983233e-07
1649321713895,43510.0,43510.0,43510.0,2.2983233e-07
1649321714899,43515.8,43515.8,43516.6,1.838414e-05
1649321715897,43515.8,43515.8,43515.8,2.2980138e-07
1649321716837,43515.8,43515.8,43515.8,2.2980138e-07
1649321717882,43515.8,43515.8,43515.8,2.2980138e-07
1649321718897,43515.8,43515.8,43515.8,2.2980138e-07
1649321720806,43515.8,43515.8,43515.8,2.2980138e-07
1649321721887,43515.8,43515.8,43515.8,2.2980138e-07
1649321722892,43515.8,43515.8,43515.8,2.2980138e-07
1649321723875,43515.8,43515.8,43515.8,2.2980138e-07
1649321724893,43515.8,43515.8,43515.8,2.2980138e-07
